Designator,Footprint,Quantity,Value,LCSC Part #
R25,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R14,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R22,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R15,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R30,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,47K,
C24,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,220pF,
R21,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
C6,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,47pF,
U10,DIP-16_W7.62mm,1,74HC368,
SW2,SW_PUSH_6mm,1,RESET,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,1M,
R26,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
U6,DIP-40_W15.24mm,1,UA6548_PPU,
C5,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,220pF,
C13,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
R32,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
R34,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,10K,
C2,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
SW1,SW_PUSH_6mm,1,POWER,
C20,CP_Radial_D5.0mm_P2.50mm,1,100uF 100V,
TP9,TestPoint_Pad_1.0x1.0mm,1,+5V,
TP8,TestPoint_Pad_1.0x1.0mm,1,CPU AUDIO 2,
TP6,TestPoint_Pad_1.0x1.0mm,1,EXP AUDIO,
R35,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,150R,
TP13,TestPoint_Pad_1.0x1.0mm,1,VIDEO OUT,
TP5,TestPoint_Pad_1.0x1.0mm,1,"+8,2V",
TP10,TestPoint_Pad_1.0x1.0mm,1,GND,
C10,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,100nF,
TP3,TestPoint_Pad_1.0x1.0mm,1,PPU CLK,
TP4,TestPoint_Pad_1.0x1.0mm,1,POWER SUPPLY IN,
R16,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,150R,
TP12,TestPoint_Pad_1.0x1.0mm,1,AUDIO OUT,
TP1,TestPoint_Pad_1.0x1.0mm,1,CPU CLK,
TP11,TestPoint_Pad_1.0x1.0mm,1,PPU CVBS,
TP7,TestPoint_Pad_1.0x1.0mm,1,CPU AUDIO 1,
TP2,TestPoint_Pad_1.0x1.0mm,1,SYS CLK,
C26,C_Disc_D4.7mm_W2.5mm_P5.00mm,1,150pF,
